"","hhid","energy_kcal","vita_rae_mcg","thia_mg","ribo_mg","niac_mg","vitb6_mg","folate_mcg","vitb12_mcg","fe_mg","zn_mg","mar","mpa","sep_quintile","res","res_quintile","adm1","survey_wgt"
"37",412041203,2799.91018836219,142.198534060555,0.919716562116182,0.746247296482226,10.5736808196646,1.00877159689038,180.267164084472,1.39144744744745,8.82908170266625,7.59747309064006,0.684139716709104,0.108555555555556,4,"Urban",4,22,2430
"38",412041204,2641.12192691125,160.302881703818,0.731633467319953,0.624062073764734,9.82043175263202,0.877766497836064,174.194043893016,0.0277239353891336,9.78469551992486,5.91052473416937,0.546112466678229,0.0241111111111111,5,"Urban",4,22,2430
"39",412041301,1729.61604158205,176.514101450509,0.689428206369905,0.525418217038769,8.88013217698545,0.863638368702811,153.440293101895,0.00846075433231396,7.39503819244961,5.9546891222185,0.503774916021621,0.00288888888888889,2,"Urban",2,22,877.5
"40",412041302,1497.33132451328,97.7668679326681,0.689254731831989,0.465152474711449,7.21443287232271,0.725374080093864,119.992742686997,0.00709796672828096,7.44714005293702,5.74193942892941,0.435102978259315,0.001,2,"Urban",1,22,877.5
"41",412051101,5591.07295716453,286.358373545669,1.71591384182327,1.06361369212953,14.2550185580767,1.79413111569312,390.464361347589,2.53577427821522,19.0359394939803,12.2595066454279,0.916931994437974,0.676111111111111,5,"Urban",5,22,194.25
"42",412051102,2853.70629261635,267.817816625968,1.37613567564854,1.03067387161921,11.2348822689965,1.37775152523608,358.518670206714,3.4583995922528,12.7119285548086,9.82430921100137,0.874450823109589,0.520444444444444,5,"Urban",4,22,194.25
"43",412051201,2363.02335635887,125.538441507156,0.941790755640091,0.567917650157785,9.17184373548475,0.908925583853784,148.079623147163,0.292598870056497,9.8156358739526,7.41165036529066,0.569942942264245,0.0811111111111111,3,"Urban",2,22,1165.5
"44",412051202,2406.31150228581,283.625151409801,1.36372261058917,0.88765795603296,12.3840580115794,1.35644676395975,338.99805208926,0.00381791483113069,14.8946870958402,10.5274586431605,0.769832333063067,0.463555555555556,2,"Urban",2,22,1165.5
"45",412051203,1766.71172167288,164.741771315749,0.781605972415892,0.5293846035081,7.65433374314791,0.8002479183502,168.50115524221,0.00801714898177919,8.61396290496678,6.41462290459852,0.512750139562511,0.00877777777777778,2,"Urban",2,22,1165.5
"46",412051204,1759.27553861474,108.706515309666,0.694515099883576,0.538518901675953,8.91855802764149,0.848108131524086,137.434644197014,0.427352804821511,7.00156813481365,6.37772370370715,0.5080221858277,0.004,2,"Urban",1,22,1165.5
"47",412051301,2185.56546052129,241.272000215201,0.991105763071792,0.721601306077118,10.4128221033931,1.0495889467382,215.568775117861,0.0130400782013685,9.64644557627997,7.81060476244835,0.651850185037207,0.137444444444444,1,"Urban",1,22,7284.38
"48",412051302,2252.13398320624,202.90396995574,1.07461019309505,0.733305556789402,11.4955775761397,1.12480234597215,196.609816908498,0.221531914893617,10.6543988583929,8.73843203545419,0.674773395589044,0.201444444444444,1,"Urban",1,22,7284.38
"49",412061101,3194.48043569144,132.748056671891,1.56141263295877,1.16376401827403,12.5849836502659,1.33258168745365,461.555242378615,4.45558912386707,11.8759866874804,10.1187475729918,0.8542588383616,0.565333333333333,5,"Urban",5,22,260
"50",412061102,2976.09580029368,169.165925110132,1.64217327459618,1.10480176211454,14.894919236417,1.46920558002937,257.488622613803,3.69635829662261,12.950778267254,11.2015242290749,0.863693759472236,0.606444444444444,5,"Urban",5,22,260
"51",412061201,1793.95523604268,70.1737826152246,0.7883537366749,0.569144400431425,7.63695338108254,0.710569820173951,220.858168573627,1.14856361149111,6.62165288676152,6.13246162333828,0.561374461417085,0.0268888888888889,3,"Urban",2,22,2418
"52",412061202,2260.36264929424,149.291910966341,1.08340933767644,0.70914223669924,11.4860912052117,1.04157437567861,163.621715526602,0.328555917480999,10.9381107491857,9.18534201954397,0.650997724400598,0.209666666666667,2,"Urban",1,22,2418
"53",412061203,2054.06067046753,68.1879308515887,1.33283368517226,0.771497846733019,10.4573987022264,1.04279704888462,339.439592827768,1.74498800959233,12.6556903318964,9.52623262347363,0.761874185021399,0.296777777777778,4,"Urban",3,22,2418
"54",412061204,1807.94811932555,89.682252485949,0.744081279723303,0.540821444012106,8.17942498919153,0.753210549070472,202.610453955902,0.720371811500216,7.17725032425422,6.24440985732815,0.539112558359151,0.00833333333333333,3,"Urban",2,22,2418
"55",412061301,1419.09737398114,90.106045147809,0.687116420636626,0.427169460184901,6.71087557963271,0.624399558777414,256.840189659997,0.591795754446357,7.24202142654482,5.78179394032507,0.505819596613346,0.0718888888888889,1,"Urban",1,22,3848
"56",412061302,2065.25861582499,55.4848484132485,0.740454189432357,0.587679708641163,9.65864621345868,0.7200701060445,175.046580312162,0.346307385229541,7.33189811603514,6.76516899799634,0.520432240094025,0.0155555555555556,1,"Urban",1,22,3848
"57",412071101,2833.30820630594,252.567954638963,1.40575879534149,0.999251989108289,11.6273261075897,1.36912035440736,289.536024627231,1.89136243386243,12.4821501345389,9.84309223646525,0.86133658740407,0.447111111111111,5,"Urban",4,22,668.5
"58",412071102,2145.41344451467,163.93052737985,1.08137852264695,0.743475969857566,10.3031026065753,1.04647509533718,199.017045132128,1.16701090074584,10.0878826439415,8.19838108344798,0.697974623214762,0.150222222222222,4,"Urban",4,22,668.5
"59",412071201,2936.61354269463,194.918995551193,1.17401935920515,0.864944847965387,11.9733972177639,1.18137156318564,395.197432166116,1.58433684210526,10.6728361218268,9.04039720417826,0.791870131805508,0.350222222222222,4,"Urban",3,22,835.63
"60",412071202,3078.20017610072,234.215901264567,1.64133624529944,1.17284987106573,12.5969500598203,1.41448694851438,313.834942898636,3.02868258178603,12.9533560891261,10.8522175136843,0.88427318546148,0.626222222222222,4,"Urban",4,22,835.63
"61",412071203,2617.35736434761,223.523883994478,1.24128270254954,0.776388367837053,10.1867569126362,1.06820987011733,248.958353475419,0.875257108287961,10.9927700715648,8.7021014466303,0.730946617352591,0.198111111111111,5,"Urban",4,22,835.63
"62",412071204,2009.10933283026,128.666626866803,0.840898965717374,0.603764366166872,9.58299910161019,0.906097417436224,155.881406314156,0.372315151515152,9.41536105260704,7.36936848968304,0.575781104547645,0.0414444444444444,3,"Urban",2,22,835.63
"63",412071301,2118.84360344465,97.2490082319163,0.801477655184593,0.570371905293612,9.95496683767947,0.91868130635141,139.136706034435,0.731472868217056,8.68945601279306,7.04812694957899,0.571179873805874,0.0363333333333333,3,"Urban",3,22,1098.25
"64",412071302,1819.53746347629,134.404462816895,0.879095952616687,0.560279382632134,8.78261697443649,0.853743368348189,171.947808894853,0.214325355532432,8.70860682181753,6.97951320467498,0.55613273780215,0.0455555555555556,3,"Urban",2,22,1098.25
